Re_tau =   9906
U_tau =  0.3401 m/s
   nu =  1.54e-05 m^2/s
    R =  0.4500 m

   y [m]   U [m/s]  u' [m/s]
0.000378   2.45238   0.95184
0.000421   2.70680   0.99761
0.000460   2.91276   1.02216
0.000486   3.00465   1.02931
0.000541   3.26391   1.05618
0.000621   3.51162   1.04759
0.000731   3.80203   1.03553
0.000888   4.10240   1.01105
0.001122   4.38442   0.97046
0.001482   4.66856   0.93096
0.001989   4.91975   0.89043
0.002703   5.14933   0.85510
0.003806   5.42007   0.84061
0.005433   5.68277   0.84178
0.007767   6.01579   0.83292
0.011190   6.29724   0.82661
0.016234   6.63310   0.81964
0.023643   6.94797   0.80311
0.034477   7.30248   0.77732
0.050361   7.66457   0.74306
0.067822   7.90873   0.70903
0.090331   8.15701   0.66788
0.130100   8.51893   0.61211
0.180116   8.90983   0.54936
0.230285   9.18945   0.50373
0.280546   9.41695   0.44079
0.330324   9.65000   0.39331
0.380199   9.76512   0.34333
0.400404   9.80688   0.32658
0.407394   9.80589   0.33046
0.415312   9.78627   0.32112
