Re_tau =  39855
U_tau =  1.3686 m/s
   nu =  1.55e-05 m^2/s
    R =  0.4500 m

   y [m]   U [m/s]  u' [m/s]
0.000138  13.23275   4.49149
0.000154  13.96579   4.54646
0.000175  14.67662   4.54248
0.000197  15.26556   4.43859
0.000217  15.82138   4.38728
0.000257  16.60868   4.25764
0.000314  17.53023   4.11248
0.000394  18.48335   3.92356
0.000512  19.41040   3.74912
0.000682  20.30888   3.64522
0.000930  21.19985   3.59635
0.001290  22.17969   3.65865
0.001830  23.32038   3.66870
0.002584  24.54071   3.68415
0.003690  25.82074   3.64375
0.005358  27.05005   3.58723
0.007717  28.37542   3.54420
0.011201  29.71122   3.43727
0.016238  30.99853   3.38976
0.023666  32.28057   3.26611
0.034404  33.62023   3.12821
0.050098  34.98420   2.92986
0.067582  36.01887   2.81582
0.090089  37.11171   2.63215
0.129886  38.42871   2.44065
0.169871  39.67859   2.24974
0.210281  40.68240   2.06753
0.249965  41.45361   1.87175
0.290216  42.06153   1.73912
0.330132  42.74073   1.54181
0.369844  43.16726   1.38780
0.390214  43.33187   1.32732
0.400151  43.41986   1.28967
0.407132  43.47933   1.28575
0.415046  43.51941   1.25669
